Ward,Suburb,Property_Code,Park_Name,Node_Id,Node_Name,Item_Id,Item_Type,Item_Description,Easting,Northing,Long,Lat
PARKINSON,PARKINSON,D2005,DAINTREE DRIVE PARK (NO.65),11473,DAINTREE DR PLAYGROUND,37558,TAP COMBINATION,Bubbler & Tap,503033,6942535,153.0307462,-27.64126618
PARKINSON,PARKINSON,D2028,TALISKER PLACE PARK,26532,TALISKER PLACE PICNIC AREA,37647,TAP COMBINATION,Bubbler & Tap,502463,6942720,153.0249676,-27.63959721
PARKINSON,PARKINSON,D2147,WATHEROO PLACE PARK,31867,WATHEROO PLACE PICNIC AREA,174184,BUBBLER/DRINKING FOUNTAIN,Disabled access fountain,501804,6942564,153.0182875,-27.64100658
PARKINSON,WILLAWONG,D2105,GARDENS DRIVE PARK (NO 15),11501,BALANCE OF PARK,184851,TAP COMBINATION,Bubbler & Tap,502969,6946501,153.0300877,-27.60546212
RICHLANDS,CAROLE PARK,D1356,CAROLE PARK COMMUNITY PARK,18369,COMMUNITY PK JR CYCLE TRAINING CIRCUIT & CRICKET FACILITY,120179,TAP COMBINATION,2 taps 1 fountain,493996,6945424,152.9391505,-27.61517498
RICHLANDS,CAROLE PARK,D1356,CAROLE PARK COMMUNITY PARK,18313,COMMUNITY PK PICNIC AREA,120145,TAP COMBINATION,2 taps 1 fountain,494041,6945285,152.9396058,-27.61643005
RICHLANDS,CAROLE PARK,D1356,CAROLE PARK COMMUNITY PARK,18370,COMMUNITY PK PLAYGROUND,120189,TAP COMBINATION,2 taps 1 fountain,494052,6945347,152.9397176,-27.61587037
RICHLANDS,CAROLE PARK,D1358,MULLEY PARK,18359,MULLEY PK PLAYGROUND,120122,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,493403,6945895,152.9331431,-27.61092013
RICHLANDS,CAROLE PARK,D1358,MULLEY PARK,18355,BALANCE OF PARK,120114,TAP COMBINATION,Bubbler & 2 taps,493434,6945907,152.9334573,-27.61081194
RICHLANDS,CAROLE PARK,D1359,OSPYA PARK,18352,OSPYA PK PLAYGROUND,36940,TAP COMBINATION,Bubbler & 2 Taps,493813,6945891,152.9372982,-27.61095818
RICHLANDS,CAROLE PARK,D1359,OSPYA PARK,18349,BALANCE OF PARK,120095,TAP COMBINATION,2 tap 1 fountain,493856,6945893,152.937734,-27.61094032
RICHLANDS,CAROLE PARK,D1360,JULIE ROAD PARK,18500,JULIE RD DOG OFF LEASH AREA,34131,TAP COMBINATION,"Bubbler, tap & dog bowl",493615,6945551,152.9352898,-27.61402671
